Transaction_ID,Timestamp,User_ID,Transaction_Type,Amount,Balance_After,Location,Recipient,Status
TX08076,01-01-25 00:25,720990980,Buy Goods,577.29,1687.46,Eldoret,,Success
TX06520,01-01-25 00:47,798970894,Deposit,1795.9,5631.2,Kericho,,Success
TX09722,01-01-25 00:51,751813625,Deposit,838.78,4139.01,Kisumu,,Success
TX08527,01-01-25 00:54,787132285,Buy Goods,15.22,0,Nairobi,,Success
TX07617,01-01-25 01:20,760353583,Paybill,1114.26,4783.44,Machakos,,Success
TX00729,01-01-25 01:53,790401397,Withdraw,1918.05,4252.01,Thika,,Success
TX00235,01-01-25 02:39,791586987,Withdraw,1798.45,5793.39,Mombasa,,Success
TX04707,01-01-25 03:09,758940930,Buy Airtime,310.83,3810.14,Eldoret,,Success
TX05413,01-01-25 03:11,783815289,Buy Airtime,416.02,1458.71,Meru,,Success
TX08352,01-01-25 03:21,713307227,Send Money,594.38,2596.32,Eldoret,767880177,Success
TX09765,01-01-25 03:55,717827043,Buy Airtime,136.41,1141.11,Kisumu,,Success
TX04743,01-01-25 05:03,747686076,Paybill,1686.27,2806.05,Eldoret,,Success
TX01401,01-01-25 05:21,712261813,Buy Airtime,1378.71,4188.55,Kisumu,,Success
TX07435,01-01-25 05:35,758164355,Reversal,51.4,3082.05,Meru,,Reversed
TX05530,01-01-25 05:58,765138590,Receive Money,446.55,1536.87,Kakamega,765827553,Success
TX05104,01-01-25 06:48,755445857,Buy Goods,2632.44,5934.66,Nairobi,,Success
TX02623,01-01-25 07:17,782654041,Withdraw,35.97,4569.28,Nakuru,,Success
TX09302,01-01-25 07:22,750591272,Buy Goods,1437.64,3450.86,Kakamega,,Success
TX00680,01-01-25 07:52,713715102,Buy Goods,1173.27,4854.24,Nairobi,,Success
TX05481,01-01-25 08:22,795745726,Buy Airtime,60.24,1522.78,Kericho,,Success
TX00392,01-01-25 10:02,780182435,Withdraw,1029.38,4072.16,Kakamega,,Failed
TX06559,01-01-25 10:14,773746737,Withdraw,598.36,0,Mombasa,,Success
TX04656,01-01-25 11:31,753290446,Receive Money,223.27,3073.48,Nakuru,755484974,Success
TX01484,01-01-25 11:57,725759816,Deposit,281.09,0,Eldoret,,Success
TX05011,01-01-25 11:58,717827043,Send Money,68.45,495.11,Eldoret,796712595,Success
TX01270,01-01-25 12:28,732179511,Deposit,1380.86,533.61,Kakamega,,Success
TX06312,01-01-25 12:45,713901676,Withdraw,924.05,3867.59,Nairobi,,Success
TX01896,01-01-25 13:12,771340632,Send Money,131.32,1363.64,Machakos,763640519,Success
TX03571,01-01-25 14:03,791220178,Deposit,567.81,4039.56,Meru,,Success
